qc_id,fid,nome_lugar,cdgo16_11_,nome_mapa,capitalcon,capitalpro,cabeceraco,capitalaut,icon_url
65,10191,Miralde,"27057030600",Miralde,Non,Non,Non,Non,
66,7953,Taíde,"27057031800",Taíde,Non,Non,Non,Non,
67,11939,"Pena, A","27057040400",A Pena,Non,Non,Non,Non,
68,5968,Couso,"27057360300",Couso,Non,Non,Non,Non,
69,1449,Sistelo,"27057040600",Sistelo,Non,Non,Non,Non,
70,24298,Domiz,"27057290100",Domiz,Non,Non,Non,Non,
71,9921,"Penela, A",2705729-99,A Penela,Non,Non,Non,Non,
72,1190,Sistelo,"27057290700",Sistelo,Non,Non,Non,Non,
73,10660,"Costa, A",2705729-99,A Costa,Non,Non,Non,Non,
74,13106,"Rego, O",2705729-99,O Rego,Non,Non,Non,Non,
75,21867,"Sisto, O","27057290600",O Sisto,Non,Non,Non,Non,
76,23023,Marzán,"27057030400",Marzán,Non,Non,Non,Non,
77,2145,"Chouso, O",2705729-99,O Chouso,Non,Non,Non,Non,
78,629,Chafarica,2705703-99,Chafarica,Non,Non,Non,Non,
79,3426,Meixente,"27057290300",Meixente,Non,Non,Non,Non,
80,10421,"Monte, O","27057030700",O Monte,Non,Non,Non,Non,
81,19092,Pacios,"27057290500",Pacios,Non,Non,Non,Non,
82,21832,Mouzós,"27057290400",Mouzós,Non,Non,Non,Non,
83,12726,Melle,"27057030500",Melle,Non,Non,Non,Non,
84,20124,"Labrada, A","27057290200",A Labrada,Non,Non,Non,Non,
85,8080,"Labrada, A","27057311000",A Labrada,Non,Non,Non,Non,
86,8962,Fondón,"27057310200",Fondón,Non,Non,Non,Non,
87,10678,Barreiros,"27057310100",Barreiros,Non,Non,Non,Non,
88,18251,Rente,"27057031100",Rente,Non,Non,Non,Non,
89,8979,Sabenche,"27057031200",Sabenche,Non,Non,Non,Non,
90,11517,"Seara, A","27057310900",A Seara,Non,Non,Non,Non,
91,25310,Abeledo,"27057030100",Abeledo,Non,Non,Non,Non,
92,25549,"Souto, O","27057031600",O Souto,Non,Non,Non,Non,
93,26627,Peruscallo,"27057040500",Peruscallo,Non,Non,Non,Non,
94,26770,Nabás,"27057310300",Nabás,Non,Non,Non,Non,
95,31025,San Martiño,"27057031300",San Martiño,Non,Non,Non,Non,
96,32183,Baxán,"27057030200",Baxán,Non,Non,Non,Non,
97,32312,"Pico, O","27057030900",O Pico,Non,Non,Non,Non,
98,32400,"Serra, A","27057031500",A Serra,Non,Non,Non,Non,
99,33837,San Paio,"27057360900",San Paio,Non,Non,Non,Non,
100,33846,Leimán,"27057040300",Leimán,Non,Non,Non,Non,
101,35175,"Devesa, A","27057030300",A Devesa,Non,Non,Non,Non,
102,36156,"Currial, O","27057260201",O Currial,Non,Non,Non,Non,
103,36915,Ortoá,"27057310500",Ortoá,Non,Non,Non,Non,
104,37794,"Nogueiras, As","27057310400",As Nogueiras,Non,Non,Non,Non,
105,26572,"Serra, A","27057210600",A Serra,Non,Non,Non,Non,
106,1432,Escarlán,"27057210800",Escarlán,Non,Non,Non,Non,
